name,country,janr
Убить Билла,США,боевик
Сокровища Сьерра Мадре,США,драма
Телохранитель,Япония,боевик
Монти Пайтон и Священный Грааль,Великобритания,фэнтези
Большой побег,США,приключения
В поисках Немо,США,мультфильм
Пленницы,США,криминал
Расемон,Япония,криминал
Ходячий замок,Япония,аниме
Человек-слон,США,биография
Китайский квартал,США,драма
В случае убийства набирайте «М»,США,криминал
Унесенные ветром,США,драма
V значит вендетта,США,фантастика
"Карты, деньги, два ствола",Великобритания,боевик
Тайна в его глазах,Аргентина,драма
Головоломка,США,мультфильм
Бешеный бык,США,биография
"Три билборда на границе Эббинга, Миссури",США,криминал
На игле,Великобритания,драма
Мост через реку Квай,Великобритания,приключения
Фарго,США,триллер
Клаус,Испания,мультфильм
Человек-паук: Нет пути домой,США,фантастика
"Поймай меня, если сможешь",США,биография
Воин,США,боевик
Гран Торино,США,драма
Мой сосед Тоторо,Япония,аниме
Малышка на миллион,США,драма
Гарри Поттер и Дары Смерти: Часть II,Великобритания,фэнтези
Дети небес,Иран,драма
12 лет рабства,США,биография
Бегущий по лезвию,США,фантастика
Перед рассветом,США,драма
Бен-Гур,США,приключения
Барри Линдон,Великобритания,приключения
Отель «Гранд Будапешт»,Германия,комедия
Исчезнувшая,США,драма
По соображениям совести,США,биография
Золотая лихорадка,США,приключения
Воспоминания об убийстве,Южная,криминал
Во имя отца,Великобритания,биография
Общество мертвых поэтов,США,драма
Безумный Макс: Дорога ярости,Австралия,фантастика
Дикие истории,Аргентина,комедия
Охотник на оленей,США,драма
Генерал,США,боевик
В порту,США,криминал
Корпорация монстров,США,мультфильм
Одержимый,США,боевик
Третий человек,Великобритания,фильм-нуар
Как приручить дракона,США,мультфильм
Челюсти,США,приключения
Земляничная поляна,Швеция,драма
Плата за страх,Франция,приключения
Мэри и Макс,Австралия,мультфильм
Мистер Смит едет в Вашингтон,США,комедия
Рататуй,США,мультфильм
Ford против Ferrari,США,биография
Токийская повесть,Япония,драма
Большой Лебовски,США,комедия
Комната,Канада,драма
Седьмая печать,Швеция,фэнтези
Рокки,США,драма
Логан,США,фантастика
В центре внимания,США,биография
Отель «Руанда»,США,биография
Терминатор,США,фантастика
Взвод,США,драма
Страсти Жанны д’Арк,Франция,биография
Ненависть,Франция,криминал
Перед закатом,США,драма
Лучшие годы нашей жизни,США,драма
Пираты Карибского моря: Проклятие Черной жемчужины,США,фэнтези
Изгоняющий дьявола,США,ужасы
Гонка,Великобритания,биография
Телесеть,США,драма
Да прольется свет,Индия,криминал
Останься со мной,США,приключения
Волшебник страны Оз,США,фэнтези
Суперсемейка,США,мультфильм
Хатико: Самый верный друг,США,биография
Служанка,Южная,драма
В диких условиях,США,приключения
Мой отец и мой сын,Турция,драма
Звуки музыки,США,мюзикл
Быть или не быть,США,комедия
Гроздья гнева,США,драма
Битва за Алжир,Италия,драма
День сурка,США,комедия
Сука-любовь,Мексика,драма
Ребекка,США,драма
Стальной гигант,США,мультфильм
Хладнокровный Люк,США,криминал
Прислуга,США,драма
Это случилось однажды ночью,США,комедия
Аладдин,США,мультфильм
Танцующий с волками,США,приключения
"Париж, Техас",Франция,драма
Видимость,Индия,криминал
